County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Autauga County, Alabama",2009,49584,24057,25527,3421.296,3570.048,4412.976,4016.304,2727.12,2875.872,3024.624,3520.464,4363.392,3966.72,3222.96,2627.952,2429.616,1983.36,1437.936,892.512,644.592,495.84
"Baldwin County, Alabama",2009,171997,84263,87734,10663.814,10663.814,11695.796,11007.808,9459.835,9803.829,9631.832,10835.811,12383.784,13071.772,12211.787,11179.805,10663.814,8599.85,7223.874,5847.898,3955.931,2923.949
"Barbour County, Alabama",2009,29663,15687,13976,1839.106,1631.465,2017.084,2165.399,2224.725,1957.758,1987.421,2135.736,2195.062,2076.41,1987.421,2017.084,1542.476,1186.52,860.227,919.553,415.282,533.934
"Bibb County, Alabama",2009,21464,11164,10300,1287.84,1416.624,1502.48,1330.768,1459.552,1201.984,1395.16,1738.584,1867.368,1695.656,1438.088,1223.448,1159.056,1116.128,450.744,536.6,536.6,128.784
"Blount County, Alabama",2009,56804,28216,28588,3749.064,3521.848,4317.104,3635.456,3181.024,3578.652,3521.848,4260.3,4203.496,4146.692,3976.28,3465.044,3408.24,2385.768,2272.16,1704.12,965.668,624.844
"Bullock County, Alabama",2009,10917,6165,4752,786.024,480.348,895.194,906.111,731.439,818.775,458.514,807.858,927.945,840.609,862.443,633.186,513.099,349.344,262.008,163.755,152.838,316.593
"Butler County, Alabama",2009,20189,9517,10672,1393.041,1393.041,1332.474,1393.041,1312.285,1231.529,1049.828,1251.718,1130.584,1453.608,1514.175,1332.474,1170.962,827.749,767.182,787.371,464.347,423.969
"Calhoun County, Alabama",2009,112969,53981,58988,7455.954,7681.892,6778.14,7455.954,7568.923,8359.706,6778.14,6665.171,7907.83,8133.768,8133.768,7568.923,5874.388,4631.729,4179.853,3389.07,2485.318,1920.473
"Chambers County, Alabama",2009,34704,16425,18279,2186.352,2429.28,2116.944,2151.648,1908.72,2221.056,2151.648,2394.576,2151.648,2463.984,2498.688,2394.576,2012.832,1631.088,1249.344,1214.64,902.304,659.376
"Cherokee County, Alabama",2009,24427,11996,12431,1221.35,1319.058,1612.182,1392.339,1123.642,1343.485,1490.047,1514.474,1709.89,1832.025,1929.733,2149.576,1538.901,1319.058,1196.923,610.675,610.675,537.394
"Chilton County, Alabama",2009,42272,20933,21339,2789.952,2789.952,3043.584,2916.768,2536.32,2916.768,2874.496,2959.04,3212.672,3085.856,2874.496,2451.776,2409.504,1733.152,1479.52,972.256,718.624,591.808
"Choctaw County, Alabama",2009,14229,6690,7539,839.511,953.343,953.343,939.114,782.595,711.45,583.389,711.45,1266.381,1067.175,1081.404,967.572,981.801,654.534,640.305,426.87,412.641,241.893
"Clarke County, Alabama",2009,26438,12583,13855,1692.032,1744.908,2220.792,2220.792,1718.47,925.33,1454.09,1771.346,1797.784,2115.04,1718.47,1480.528,1586.28,1136.834,1083.958,793.14,423.008,555.198
"Clay County, Alabama",2009,13769,6704,7065,743.526,881.216,881.216,743.526,633.374,950.061,715.988,991.368,977.599,1032.675,963.83,908.754,592.067,771.064,440.608,357.994,509.453,674.681
"Cleburne County, Alabama",2009,14579,7320,7259,918.477,933.056,918.477,889.319,845.582,933.056,845.582,991.372,1137.162,1108.004,1035.109,1064.267,728.95,860.161,451.949,451.949,189.527,277.001
"Coffee County, Alabama",2009,46802,22707,24095,3088.932,2995.328,3229.338,3182.536,2901.724,3603.754,3088.932,3276.14,3088.932,3182.536,3088.932,2995.328,2386.902,1825.278,1778.476,1263.654,982.842,889.238
"Colbert County, Alabama",2009,54546,26111,28435,3054.576,3654.582,3218.214,3709.128,3054.576,3381.852,3109.122,3545.49,3818.22,4200.042,4036.404,3600.036,3272.76,2618.208,2127.294,1854.564,1254.558,1036.374
"Conecuh County, Alabama",2009,13114,6432,6682,826.182,786.84,931.094,1245.83,537.674,537.674,629.472,721.27,970.436,944.208,1009.778,1114.69,668.814,603.244,537.674,340.964,432.762,275.394
"Coosa County, Alabama",2009,10777,5467,5310,517.296,560.404,711.282,614.289,635.843,549.627,571.181,549.627,959.153,829.829,916.045,819.052,732.836,657.397,409.526,226.317,258.648,237.094
"Covington County, Alabama",2009,36688,17730,18958,2348.032,2091.216,2458.096,2384.72,2127.904,2091.216,1871.088,2054.528,2751.6,2568.16,2604.848,2164.592,2348.032,1981.152,1614.272,1284.08,1063.952,807.136
"Crenshaw County, Alabama",2009,13687,6518,7169,834.907,917.029,889.655,1026.525,629.602,821.22,780.159,1012.838,739.098,971.777,999.151,944.403,780.159,684.35,561.167,369.549,424.297,287.427
"Cullman County, Alabama",2009,80630,39882,40748,5079.69,5402.21,5160.32,5160.32,4757.17,5563.47,5160.32,5160.32,5724.73,5966.62,5482.84,5321.58,4354.02,3708.98,3144.57,2418.9,1693.23,1451.34
"Dale County, Alabama",2009,48233,23797,24436,3713.941,3231.611,3231.611,3617.475,3279.844,3858.64,3231.611,3135.145,2990.446,3279.844,3135.145,2652.815,2652.815,2074.019,1398.757,1157.592,819.961,723.495
